datetime,United States : all fuels (utility-scale) thousand megawatthours,United States : coal thousand megawatthours,United States : natural gas thousand megawatthours,United States : nuclear thousand megawatthours,United States : conventional hydroelectric thousand megawatthours,United States : wind thousand megawatthours,United States : all solar thousand megawatthours
2004-04-01 00:00:00,290559.91417,141470.95622,51821.988260000006,58620.255,20887.97481,1294.8568,0.0
2004-03-01 00:00:00,308812.09552,154288.41916,49801.1869,63285.115999999995,22914.28123,1291.224,0.0
2004-02-01 00:00:00,314279.90954,161503.09216,50319.87478,64101.949,20913.61671,1021.5689699999999,0.0
2004-01-01 00:00:00,346545.62699,180657.42054000002,48253.37213,70806.16,22983.30588,999.44521,0.0
2003-12-01 00:00:00,331680.43,176291.473,44034.895,68611.69900000001,24044.33,1104.881,0.0
2003-11-01 00:00:00,297866.711,158223.19400000002,45327.919,59600.02,19715.265,961.432,0.0
2003-10-01 00:00:00,306740.933,159322.94199999998,51824.169,60016.207,18428.423,897.1610000000001,0.0
2003-09-01 00:00:00,323135.534,164910.00199999998,59089.943,63583.645,18480.455,895.054,0.0
2003-08-01 00:00:00,381816.31899999996,185331.823,83249.694,69023.878,22972.03,815.429,0.0
2003-07-01 00:00:00,374396.05,181852.318,76938.27799999999,69652.754,24843.095,953.3960000000001,0.0
2003-06-01 00:00:00,328693.69800000003,162284.63,54452.950999999994,64180.727,28586.3,1047.144,0.0
2003-05-01 00:00:00,307544.887,150262.97699999998,49372.962999999996,62201.96,29395.256,1006.383,0.0
2003-04-01 00:00:00,285755.69899999996,141959.981,45195.383,56775.59099999999,24758.962000000003,1092.766,0.0
2003-03-01 00:00:00,304317.265,155001.775,46699.026,59933.261,24202.272999999997,1036.104,0.0
2003-02-01 00:00:00,299248.777,156982.481,43546.573,60941.869000000006,19779.86,745.375,0.0
2003-01-01 00:00:00,341988.901,181313.15300000002,50175.746,69211.084,20600.078999999998,632.34,0.0
2002-12-01 00:00:00,324833.705,172189.765,46100.393,68905.47200000001,21668.54,755.194,0.0
2002-11-01 00:00:00,296289.561,156053.655,45160.876,61520.324,19730.029,655.946,0.0
2002-10-01 00:00:00,307059.46,159099.294,54200.82,60493.052,17171.334,734.355,0.0
2002-09-01 00:00:00,331279.434,165366.309,68161.131,64480.79,17086.782,735.828,0.0
2002-08-01 00:00:00,374585.81899999996,179955.447,84476.867,70777.688,21083.924,976.691,0.0
2002-07-01 00:00:00,381542.107,183194.702,83917.269,70420.827,25470.647,890.455,0.0
2002-06-01 00:00:00,341023.144,164667.695,65631.018,66371.896,28212.847,1126.315,0.0
2002-05-01 00:00:00,307674.56899999996,151406.40099999998,50275.237,63032.192,26662.695,1077.641,0.0
2002-04-01 00:00:00,289848.253,142304.595,49146.40900000001,58437.062000000005,24246.605,1024.417,0.0
2002-03-01 00:00:00,302549.011,151485.65099999998,51214.46400000001,63040.647000000004,21008.813,852.102,0.0
2002-02-01 00:00:00,281825.712,143048.822,44308.431,61658.274000000005,20191.683,713.932,0.0
2002-01-01 00:00:00,319941.476,164358.018,48412.832,70925.863,21794.932,811.4019999999999,0.0
2001-12-01 00:00:00,305496.328,157402.35,47540.861,67430.878,19346.314,615.6569999999999,0.0
2001-11-01 00:00:00,278933.942,144116.99800000002,44490.622,62341.710999999996,15412.928999999998,470.44800000000004,0.0
2001-10-01 00:00:00,294733.613,148930.816,56376.441,60460.967000000004,15234.503,606.8290000000001,0.0
2001-09-01 00:00:00,306928.86600000004,154158.31699999998,60181.14,63378.450999999994,15256.027,490.22900000000004,0.0
2001-08-01 00:00:00,370532.828,183116.073,78409.804,68389.496,18913.768,577.206,0.0
2001-07-01 00:00:00,357613.7,179060.41,73030.142,69166.04,18079.119,634.992,0.0
2001-06-01 00:00:00,327693.978,162615.804,57603.154,68023.098,20727.63,669.6339999999999,0.0
2001-05-01 00:00:00,300491.62100000004,151592.914,50934.205,61512.445,19175.635,635.029,0.0
2001-04-01 00:00:00,278078.87100000004,140670.654,45842.746,56003.026,18012.994,684.695,0.0
2001-03-01 00:00:00,300706.544,155269.011,44364.414000000004,62140.712,20477.189,532.12,0.0
2001-02-01 00:00:00,282940.19800000003,149735.484,37966.927,61272.407,17472.889,431.24199999999996,0.0
2001-01-01 00:00:00,332493.16,177287.111,42388.663,68707.077,18852.048,389.25,0.0
